,Open,High,Low,Close,Adj Close,Volume
156,242.820007,245.050003,237.800003,241.850006,241.850006,5616900
157,243,245.410004,239.360001,241.080002,241.080002,4401500
158,241.309998,249.369995,241.309998,246.699997,246.699997,6252200
159,250,254.779999,244.309998,244.639999,244.639999,7238300
160,238.75,239,230.600006,235.899994,235.899994,7683000
161,239,241.960007,235.559998,241.889999,241.889999,5404600
162,243.580002,247.220001,241.781006,243.350006,243.350006,5722700
163,243.350006,247.490005,239.839996,241.429993,241.429993,6304500
164,244.350006,246.190002,238.479996,239,239,6188300
165,239.830002,241.621002,233.110001,235.160004,235.160004,7143500
166,238.699997,241.770004,234.399994,237.520004,237.520004,7879900
167,231.910004,234.020004,225.279999,233.690002,233.690002,7310000
168,234.610001,247.690002,232.199997,246.470001,246.470001,8851600
169,246.279999,258.5,244.800003,257.25,257.25,9068900
170,256.929993,262.569,256.5,260.589996,260.589996,6660100
171,261.850006,267.769989,261.279999,264,264,6374100
172,264.970001,265.73999,260.399994,261.98999,261.98999,5928300
173,261.279999,261.859985,245.057007,251.729996,251.729996,7828100
174,254.029999,259.869995,250.770004,258.609985,258.609985,4698900
175,255.509995,261.829987,254.529999,255.279999,255.279999,4713800
176,249.279999,254.360001,244.350006,247.259995,247.259995,7548100
177,247.929993,280.875,247.009995,272.380005,272.380005,45730600
178,270.429993,274.950012,261.75,269.48999,269.48999,21445100
179,268,268.390015,261,266.420013,266.420013,10241400
180,265.600006,289.230011,264.769989,281.809998,281.809998,19413700
181,279.51001,285.859985,273.100006,275.100006,275.100006,9482100
182,272.98999,286.519989,270.630005,279.730011,279.730011,10561700
183,280.01001,283.589996,272.640015,273.079987,273.079987,6694800
184,277.76001,281.339996,269.61499,271.089996,271.089996,8018200
185,270.450012,272.839996,265.549988,268.589996,268.589996,5208800
186,269.950012,271.910004,266.459991,267.880005,267.880005,4258600
187,266.350006,267.380005,257.600006,263.399994,263.399994,6543000
188,260.980011,264.25,257.910004,260.880005,260.880005,5707800
189,261.540009,266.666992,259.079987,259.660004,259.660004,4705100
190,256.839996,260.480011,254.139999,257.350006,257.350006,5121000
191,257.140015,263.5,257.084991,263.049988,263.049988,4734500
192,267.709991,273.5,267.070007,270.440002,270.440002,6071300
193,272.399994,274.187988,269.130005,270.170013,270.170013,4258100
194,269.529999,270.325012,266.220001,267.570007,267.570007,3428700
195,268,268,260.940002,262.130005,262.130005,4314400
196,262,270.484009,261.61499,268.01001,268.01001,4640300
197,271,273.869995,268.5,271.920013,271.920013,6348100
198,273.5,276.140015,266.26001,268.070007,268.070007,6309300
199,269.01001,273.149994,267.940002,268.25,268.25,3942000
200,272.369995,274.369995,265.470001,265.940002,265.940002,5215000
201,266.540009,270.630005,263.679993,269.73999,269.73999,4901800
202,270.079987,270.450012,263.75,265.829987,265.829987,5672200
203,264.76001,265,251.729996,254.720001,254.720001,10481800
204,256,258.630005,251.380005,251.539993,251.539993,5606200
205,253.009995,254.75,247.380005,247.899994,247.899994,6497700
206,248.740005,248.839996,237.910004,246.679993,246.679993,7879100
207,249.100006,253.419998,245.679993,247.050003,247.050003,4940400
208,247.729996,248.899994,245.070007,248.800003,248.800003,4092200
209,248.800003,255.490005,247.479996,255.089996,255.089996,5795100
210,256.059998,257.269989,252.380005,255.789993,255.789993,5564700
211,245.330002,251.720001,244.610001,250.229996,250.229996,5861500
212,252.820007,254.100006,249.830002,251.300003,251.300003,4658700
213,253,261.790009,252.289993,261.070007,261.070007,6271000
214,263.48999,268.170013,262.700012,266.720001,266.720001,7837900
215,263.98999,264.970001,257.910004,262.5,262.5,6958900
216,258.100006,259.859985,255.792999,258.109985,258.109985,4683200
217,252.509995,252.850006,241.619995,242.699997,242.699997,11052200
218,245.520004,246.240005,235.220001,236.039993,236.039993,7323700
219,236.690002,243.270004,236.270004,239.839996,239.839996,5464100
220,239.440002,242.050003,236.880005,239.289993,239.289993,5934600
221,235.610001,236.285004,222.919998,226.25,226.25,12376700
222,226.910004,239.139999,226.259995,235.979996,235.979996,9928200
223,231.970001,241,231.330002,239.119995,239.119995,7079600
224,246.089996,251.649994,244.919998,249.160004,249.160004,9170900
225,249.300003,251.440002,238.119995,238.490005,238.490005,8468700
226,238.490005,240.720001,232,232.330002,232.330002,7632300
227,237.75,240.320007,234.080002,237.410004,237.410004,5800300
228,239.300003,243.529999,238.669998,242.729996,242.729996,5422800
229,248.115005,251.339996,247.100006,247.410004,247.410004,6747800
230,250,250.460007,246.509995,249,249,4660600
231,247.449997,253.600006,244.160004,252.199997,252.199997,6911100
232,253.940002,256.970001,251.809998,254.410004,254.410004,5248600
233,257.890015,260.380005,253.020004,255.350006,255.350006,4695100
234,255.539993,265.649994,253.600006,265.079987,265.079987,7003100
235,259.880005,262,251.940002,253.059998,253.059998,7656200
236,252.550003,262.410004,252.529999,262,262,5747700
237,263.029999,270.160004,259.059998,263.390015,263.390015,7089500
238,261.920013,262.309998,252.279999,253.020004,253.020004,6305700
239,257.190002,261.609985,254.664993,261.329987,261.329987,4912900
240,258.160004,258.75,253.975006,254.5,254.5,4093800
241,255.119995,255.539993,251.119995,255.039993,255.039993,4426600
242,253.039993,255.223999,247.399994,249.009995,249.009995,5465900
243,249.399994,252.820007,248.229996,252.479996,252.479996,4205600
244,252.639999,253.320007,244.550003,247.460007,247.460007,10195300
245,247.639999,255.949997,237.080002,237.380005,237.380005,15216100
246,237.990005,241.419998,234.149994,236.770004,236.770004,7458700
247,238.399994,240.899994,229.716995,230.779999,230.779999,7280600
248,230,234.690002,225.25,227.210007,227.210007,7326800
249,247.639999,255.949997,237.080002,237.380005,237.380005,15216100
250,237.990005,241.419998,234.149994,236.770004,236.770004,7458700
