,Close
0,919.219971
1,914.02002
2,931.429993
3,966.77002
4,988.51001
3,980.01001
4,971.23999
5,1019.52002
6,1034.390015
7,1090.380005
8,1069.060059
9,1079.439941
10,1062.680054
11,1053.890015
12,1084.400024
13,1102.089966
14,1038.189941
15,1067.369995
16,1057.869995
17,1059.170044
18,1074.099976
19,1157.310059
20,1180
21,1170.959961
22,1197.26001
23,1277.079956
24,1197.959961
25,1225.52002
26,1147.060059
27,1171.609985
28,1163
29,1131.949951
30,1092.400024
31,1118.73999
32,1087.310059
33,1159.530029
34,1188.920044
35,1177.640015
36,1188.23999
37,1199.819946
38,1178.859985
39,1170.469971
40,1173.969971
41,1200.97998
42,1198.150024
43,1196.699951
44,1205.920044
45,1159.77002
46,1092.079956
47,1120.569946
48,1098.589966
49,1144.930054
50,1235.349976
51,1224.160034
52,1260.869995
53,1287.75
45,1345.089966
55,1432.98999
56,1462.420044
57,1463.310059
58,1455.48999
59,1474
60,1425
61,1384.569946
62,1435.01001
63,1381.300049
64,1300.23999
65,1301.150024
66,1245.099976
67,1280.969971
68,1309.939941
69,1309.060059
70,1220.300049
71,1149.439941
72,1131.01001
73,1072.430054
74,1130.73999
75,1087.900024
76,1142.23999
77,1140.630005
78,1159
79,1143.170044
80,1169.170044
81,1117.099976
82,1120.949951
83,1160
84,1162
85,1106.01001
86,1061.680054
87,1065.209961
88,1039.910034
89,1048.680054
90,1106.5
91,1155.410034
92,1145.949951
93,1156.140015
94,1159.469971
95,1222.689941
96,1227.300049
97,1202
98,1241.540039
99,1179.859985
10,1208.339966
101,1207.800049
102,1145.780029
103,1123.01001
104,1142.060059
105,1096.640015
106,1099.030029
107,1166
108,1156.890015
109,1288.800049
110,1233.069946
111,1182.51001
112,1122.01001
113,1142.939941
114,1120.349976
115,1090.930054
116,1108.599976
117,1080.23999
118,1110.199951
119,1083.900024
120,1047.77002
121,1085.01001
122,1096.390015
123,1133.359985
124,1170.390015
125,1214.900024
126,1224.119995
127,1261.430054
128,1240
129,1238.829956
130,1240.839966
131,1242.869995
132,1251.560059
133,1229.589966
134,1199
135,1205.73999
136,1230.550049
137,1230.73999
138,1215.560059
139,1231.099976
140,1247.02002
141,1306.640015
142,1321.079956
143,1366.300049
144,1449.27002
145,1466.869995
146,1480.22998
147,1508.439941
148,1500.530029
149,1478.98999
150,1473.540039
151,1494.98999
152,1482.98999
153,1460.97998
154,1458
155,1464.75
156,1538.030029
157,1520.219971
158,1463.339966
159,1494.98999
160,1494.73999
161,1516.469971
162,1463
163,1441.5
164,1442.630005
165,1472.01001
166,1524.780029
167,1569.359985
168,1594.089966
169,1643.319946
170,1582.280029
171,1555.099976
172,1538
173,1525
174,1499.930054
175,1538.670044
176,1522.560059
177,1555.52002
1787,1545.550049
179,1525.060059
180,1549.98999
181,1525.939941
182,1485.22998
183,1503.199951
184,1498
185,1489
186,1481.869995
187,1489.180054
188,1466.109985
189,1450.699951
190,1481.410034
191,1538.51001
192,1552.23999
193,1515.579956
194,1531.420044
195,1549
196,1524.780029
197,1539.030029
198,1542.599976
199,1554.25
200,1536.699951
201,1477.810059
202,1504.079956
203,1484.099976
204,1476.869995
205,1451.280029
206,1474.939941
207,1475.969971
208,1486.290039
209,1434.530029
210,1437.150024
211,1465.900024
212,1476.599976
213,1444
214,1443.810059
215,1369.310059
216,1346.550049
217,1355.780029
218,1350.76001
219,1314.900024
220,1318.079956
221,1349.880005
222,1398.5
223,1378.030029
224,1357.01001
225,1357.219971
226,1398.969971
227,1406.75
228,1424.579956
229,1465.109985
230,1485.73999
231,1487.469971
232,1496.709961
233,1425.849976
234,1425.160034
235,1363.699951
236,1361.119995
237,1457
238,1466.72998
239,1527.619995
240,1476.640015
241,1495.339966
242,1540.560059
243,1528.060059
244,1533.77002
245,1554.849976
246,1474
247,1490.339966
248,1669.52002
249,1656.5
250,1660
